0	1	2	3	4	5	6
A1BG	0.173165574587884	0	0	0	0	0	0
A1BG-AS1	0	0	0	0	0	0	0
A2M	0	0	0	0	0	0	0
A2M-AS1	0	0	0	0	0	0	0
AAAS	0	0	0	0	0	0	0
AACS	0	0	0	0	0	0	0
AAED1	0	0	0	0	0	0	0
AAGAB	0	0	0	0	0	0	0
AAK1	0	0	0	0	0	0	0
AAMDC	0	0	0	0	0	0	0
AAMP	0	0	0	0	0	0	0
AAR2	0	0	0	0	0	0	0
AARD	0	0	0	0	0	0	0
AARS	0	0	0	0	0	0	0
AARS2	0	0	0	0	0	0	0
AARSD1	0	0	0	0	0	0	0
AASDH	0	0	0	0	0	0	0
AASDHPPT	0	0	0	0	0	0	0
AASS	0	0	0	0	0	0	0
AATF	0	0	0	0	0	0	0
AATK	0	0	0	0	0	0	0
ABALON	0	0	0	0	0	0	0
ABAT	0	0	0	0	0	0	0
ABC11-4932300O16.1	0	0	0	0	0	0	0
ABCA1	0	0	0	0	0	0	0
ABCA10	0	0	0	0	0	0	0
ABCA2	0	0	0	0	0	0	0
ABCA3	0	0	0	0	0	0	0
ABCA5	0	0	0	0	0	0	0
ABCA6	0	0	0	0	0	0	0
ABCA7	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0
ABCB10	0	0	0	0	0	0	0
ABCB5	0	0	0	0	0	0	0
ABCB6	0	0	0	0	0	0	0
ABCB7	0	0	0	0	0	0	0
ABCB8	0	0	0	0	0	0	0
ABCB9	0	0	0	0	0	0	0
ABCC1	0	0	0	0	0	0	0
ABCC10	0	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0	0
ABCC3	0	0	0	0	0	0	0
ABCC4	0	0	0	0	0	0	0
ABCC5	0	0	0	0	0	0	0
ABCD1	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0
ABCD3	0	0	0	0	0	0	0
ABCD4	0	0	0	0	0	0	0
ABCE1	0	0	0	0	0	0	0
ABCF1	0	0	0	0	0	0	0
ABCF2	0	0	0	0	0	0	0
ABCF3	0	0	0	0	0	0	0
ABCG1	0	0	0	0	0	0	0
ABCG2	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0
ABHD10	0	0	0	0	0	0	0
ABHD11	0	0	0	0	0	0	0
ABHD12	0	0	0	0	0	0	0
ABHD13	0	0	0	0	0	0	0
ABHD14A	0	0	0	0	0	0	0
ABHD14B	0	0	0	0	0	0	0
ABHD15	0	0	0	0	0	0	0
ABHD16A	0	0	0	0	0	0	0
ABHD17A	0	0	0	0	0	0	0
ABHD17B	0	0	0	0	0	0	0
ABHD17C	0	0	0	0	0	0	0
ABHD18	0	0	0	0	0	0	0
ABHD2	0	0	0	0	0	0	0
ABHD3	0	0	0	0	0	0	0
ABHD4	0	0	0	0	0	0	0
ABHD5	0	0	0	0	0	0	0
ABHD6	0	0	0	0	0	0	0
ABHD8	0	0	0	0	0	0	0
ABI1	0	0	0	0	0	0	0
ABI2	0	0	0	0	0	0	0
ABI3	0	0	0	0	0	0	0
ABL1	0	0	0	0	0	0	0
ABL2	0	0	0	0	0	0	0
ABLIM1	0	0	0	0	0	0	0
ABLIM2	0	0	0	0	0	0	0
ABO	0	0	0	0	0	0	0
ABR	0	0	0	0	0	0	0
ABRACL	0	0	0	0	0	0	0
ABT1	0	0	0	0	0	0	0
ABTB1	0	0	0	0	0	0	0
ABTB2	0	0	0	0	0	0	0
AC000032.2	0	0	0	0	0	0	0
AC000068.10	0	0	0	0	0	0	0
AC000068.5	0	0	0	0	0	0	0
AC000403.4	0	0	0	0	0	0	0
AC002116.7	0	0	0	0	0	0	0
AC002117.1	0	0	0	0	0	0	0
AC002306.1	0	0	0	0	0	0	0
AC002310.12	0	0	0	0	0	0	0
AC002310.7	0	0	0	0	0	0	0
AC002331.1	0	0	0	0	0	0	0
AC002454.1	0	0	0	0	0	0	0
AC002467.7	0	0	0	0	0	0	0
AC002550.6	0	0	0	0	0	0	0
AC003075.4	0	0	0	0	0	0	0
AC003991.3	0	0	0	0	0	0	0
AC004067.5	0	0	0	0	0	0	0
AC004069.2	0	0	0	0	0	0	0
AC004381.6	0	0	0	0	0	0	0
AC004381.7	0	0	0	0	0	0	0
AC004510.3	0	0	0	0	0	0	0
AC004556.1	0	0	0	0	0	0	0
AC004754.3	0	0	0	0	0	0	0
AC004854.4	0	0	0	0	0	0	0
AC004878.2	0	0	0	0	0	0	0
AC004878.8	0	0	0	0	0	0	0
AC004893.11	0	0	0	0	0	0	0
AC004895.4	0	0	0	0	0	0	0
AC004951.6	0	0	0	0	0	0	0
AC005037.3	0	0	0	0	0	0	0
AC005076.5	0	0	0	0	0	0	0
AC005082.12	0	0	0	0	0	0	0
AC005224.2	0	0	0	0	0	0	0
AC005253.2	0	0	0	0	0	0	0
AC005329.7	0	0	0	0	0	0	0
AC005339.2	0	0	0	0	0	0	0
AC005363.11	0	0	0	0	0	0	0
AC005480.1	0	0	0	0	0	0	0
AC005498.3	0	0	0	0	0	0	0
AC005523.2	0	0	0	0	0	0	0
AC005523.3	0	0	0	0	0	0	0
AC005534.8	0	0	0	0	0	0	0
AC005614.3	0	0	0	0	0	0	0
AC005616.2	0	0	0	0	0	0	0
AC005618.6	0	0	0	0	0	0	0
AC005786.5	0	0	0	0	0	0	0
AC005944.2	0	0	0	0	0	0	0
AC006116.17	0	0	0	0	0	0	0
AC006129.1	0	0	0	0	0	0	0
AC006129.2	0	0.358807304680755	0	0	0	0	0
AC006160.5	0	0	0	0	0	0	0
AC006277.2	0	0	0	0	0	0	0
AC006369.2	0	0	0	0	0	0	0
AC006449.2	0	0	0	0	0	0	0
AC006547.15	0	0	0	0	0	0	0
AC006942.4	0	0	0	0	0	0	0
